link,image,name,price,original_price,promo,sales,rating,seller,location
https://www.tokopedia.com/pusatjacket/jaket-pria-boxy-suede-work-vintage-peremium-bomber-suede-1730942012328806396?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/a8435644268d469e88a3a3c6e6dcb1be~.jpeg.webp?ect=4g,Jaket pria  boxy suede work vintage peremium bomber suede,Rp156.868,Rp196.085,20%,22 terjual,,Pusat.jacket,Kab. Garut
https://www.tokopedia.com/sensorofficial/work-jaket-sensor-pria-vintage-casual-premium-zipper-bahan-kanvas-ring-tebal-kerah-suede-orange-m-f094a?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/7/4/73b8a434-5ddf-4574-a48d-dfc03c28aa46.jpg.webp?ect=4g,Work Jaket SENSOR Pria Vintage Casual Premium Zipper Bahan Kanvas Ring Tebal Kerah Suede,Rp180.000,Rp250.000,28%,23 terjual,4.8,sensorofficial,Bandung
https://www.tokopedia.com/unionwellid/unionwell-trucker-jacket-good-vibes-jkt-green-l-2ac5d?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2024/10/26/b9511d81-dbcc-4b10-9352-00a61d2f650c.jpg.webp?ect=4g,Unionwell Trucker Jacket Good Vibes Jkt Green,Rp765.000,Rp850.000,10%,26 terjual,5.0,Unionwell Official,Jakarta Selatan
https://www.tokopedia.com/vobiastudio/vobia-work-jacket-obsidian-suede-brown-1731455098341131665?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/o3syd0/1997/1/1/eec109bfb3f24678ad0d337b050faaf8~.jpeg.webp?ect=4g,Vobia Work Jacket Obsidian Suede - Brown,Rp259.000,Rp649.000,60%,19 terjual,5.0,vobia,Depok
https://www.tokopedia.com/saico/sai-midsky-outer-overshirt-corduroy-work-jacket-boxy-corduroy-1731576614831097156?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/7315068a1d8f4437bcc29b4a6bd2c844~.jpeg.webp?ect=4g,Sai - Midsky Outer Overshirt Corduroy Work Jacket Boxy Corduroy,Rp161.000,Rp550.000,71%,30+ terjual,5.0,SAI.CO,Kab. Bogor
https://www.tokopedia.com/hanoonindustries/hanoon-industries-work-jacket-boxy-fit-biru-navy-fuelo-lions-1729607094457566405?extParam=ivf%3Dtrue%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/868c83fa4625439a9aade018e43c6b8c~.jpeg.webp?ect=4g,Hanoon Industries – Work Jacket Boxy Fit Biru Navy Fuelo Lions,Rp431.100,Rp479.000,10%,250+ terjual,4.9,Hanoon Industries,Kab. Garut
https://www.tokopedia.com/hanoonindustries/hanoon-industries-work-jacket-corduroy-boxy-fit-cream-jacket-vintage-jovana-1730872888883381445?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/o3syd0/1997/1/1/2fd022f84d444cf9ac61ca8be221be71~.jpeg.webp?ect=4g,Hanoon Industries – Work Jacket Corduroy Boxy Fit Cream Jacket Vintage Jovana,Rp434.130,Rp499.000,13%,30+ terjual,5.0,Hanoon Industries,Kab. Garut
https://www.tokopedia.com/backheelsofficial/backheels-work-jacket-boxy-basic-jaket-boxy-unisex-1730308065286456603?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/a0bd4acb784c4987922ba5037ce2bc94~.jpeg.webp?ect=4g,Backheels - Work Jacket Boxy - Basic - Jaket Boxy Unisex,Rp175.000,Rp350.000,50%,1rb+ terjual,4.8,BackheelsOfficial,Kab. Bogor
https://www.tokopedia.com/bitsnbobs76/bitsnbobs76-work-jacket-forza-black-workjacket-hitam-1730089016016144150?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/20e2ba97895a494398539e8d5020cd1d~.jpeg.webp?ect=4g,Bitsnbobs76 Work Jacket Forza Black WorkJacket Hitam,Rp229.000,Rp450.000,49%,5rb+ terjual,4.9,Bitsnbobs76,Bandung
https://www.tokopedia.com/wadarkum-131/wadarkum-work-jacket-pria-clean-look-minimalis-stylish-1731682793087862167?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/7f7ac8d245874a2199b19060915e6748~.jpeg.webp?ect=4g,Wadarkum Work Jacket Pria – Clean Look Minimalis & Stylish,Rp213.500,Rp305.000,30%,4 terjual,5.0,Wadarkum,Bandung
https://www.tokopedia.com/wadarkum-131/wadarkum-clean-work-jacket-1731682789657380247?extParam=ivf%3Dfalse%26keyword%3Dwork+jacket%26search_id%3D2025091411251537BC2F75BF1BCF15FLTN%26src%3Dsearch,https://images.tokopedia.net/img/cache/200-square/aphluv/1997/1/1/b50b240873734e9bb4c72a4bd5d36ae3~.jpeg.webp?ect=4g,Wadarkum Clean Work Jacket,Rp213.500,Rp305.000,30%,8 terjual,,Wadarkum,Bandung
